Month,Day,Year,Celebration
1,1,1997,año nuevo
2,5,1997,aniversario de la Constitución de 1917
3,21,1997,natalicio de Benito Juárez Garcia
3,27,1997,jueves santo
3,28,1997,viernes santo
5,1,1997,día del trabajo
5,10,1997,día de la madre
9,16,1997,día de la Independencia
10,12,1997,día de la Virgen de Zapopan
11,2,1997,día de los muertos
11,20,1997,día de la Revolución
12,12,1997,día de la Virgen de Guadalupe
12,25,1997,Navidad
1,1,1998,año nuevo
2,5,1998,aniversario de la Constitución de 1917
3,21,1998,natalicio de Benito Juárez Garcia
4,9,1998,jueves santo
4,10,1998,viernes santo
5,1,1998,día del trabajo
5,10,1998,día de la madre
9,16,1998,día de la Independencia
10,12,1998,día de la Virgen de Zapopan
11,2,1998,día de los muertos
11,20,1998,día de la Revolución
12,12,1998,día de la Virgen de Guadalupe
12,25,1998,Navidad
1,1,1999,año nuevo
2,5,1999,aniversario de la Constitución de 1917
3,21,1999,natalicio de Benito Juárez Garcia
4,1,1999,jueves santo
4,2,1999,viernes santo
5,1,1999,día del trabajo
5,10,1999,día de la madre
9,16,1999,día de la Independencia
10,12,1999,día de la Virgen de Zapopan
11,2,1999,día de los muertos
11,20,1999,día de la Revolución
12,12,1999,día de la Virgen de Guadalupe
12,25,1999,Navidad
1,1,2000,año nuevo
2,5,2000,aniversario de la Constitución de 1917
3,21,2000,natalicio de Benito Juárez Garcia
4,20,2000,jueves santo
4,21,2000,viernes santo
5,1,2000,día del trabajo
5,10,2000,día de la madre
7,2,2000,elecciones presidenciales
9,16,2000,día de la Independencia
10,12,2000,día de la Virgen de Zapopan
11,2,2000,día de los muertos
11,20,2000,día de la Revolución
12,1,2000,cambio de poder
12,12,2000,día de la Virgen de Guadalupe
12,25,2000,Navidad
1,1,2001,año nuevo
2,5,2001,aniversario de la Constitución de 1917
3,21,2001,natalicio de Benito Juárez Garcia
4,12,2001,jueves santo
4,13,2001,viernes santo
5,1,2001,día del trabajo
5,10,2001,día de la madre
9,16,2001,día de la Independencia
10,12,2001,día de la Virgen de Zapopan
11,2,2001,día de los muertos
11,20,2001,día de la Revolución
12,12,2001,día de la Virgen de Guadalupe
12,25,2001,Navidad
1,1,2002,año nuevo
2,5,2002,aniversario de la Constitución de 1917
3,21,2002,natalicio de Benito Juárez Garcia
3,28,2002,jueves santo
3,29,2002,viernes santo
5,1,2002,día del trabajo
5,10,2002,día de la madre
9,16,2002,día de la Independencia
10,12,2002,día de la Virgen de Zapopan
11,2,2002,día de los muertos
11,20,2002,día de la Revolución
12,12,2002,día de la Virgen de Guadalupe
12,25,2002,Navidad
1,1,2003,año nuevo
2,5,2003,aniversario de la Constitución de 1917
3,21,2003,natalicio de Benito Juárez Garcia
4,17,2003,jueves santo
4,18,2003,viernes santo
5,1,2003,día del trabajo
5,10,2003,día de la madre
9,16,2003,día de la Independencia
10,12,2003,día de la Virgen de Zapopan
11,2,2003,día de los muertos
11,20,2003,día de la Revolución
12,12,2003,día de la Virgen de Guadalupe
12,25,2003,Navidad
1,1,2004,año nuevo
2,5,2004,aniversario de la Constitución de 1917
3,21,2004,natalicio de Benito Juárez Garcia
